"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0F850","2020-05-05 00:00:00","379.000","217.000","0.800","24.500","0.920","968.000","","0.000","-99.000","-99.000","-99.000","33.200","","22.000",""
"C0G800","2020-05-05 00:00:00","15.000","199.000","0.900","25.300","0.990","1009.200","","0.000","-99.000","-99.000","-99.000","31.800","","24.400",""
"C0U890","2020-05-05 00:00:00","116.000","248.000","2.300","24.500","0.990","998.700","","0.000","-99.000","-99.000","-99.000","29.800","","22.600",""
"C0F860","2020-05-05 00:00:00","2215.000","170.000","0.500","13.600","0.670","782.500","","0.000","-99.000","-99.000","-99.000","22.500","","11.400",""
"C0I390","2020-05-05 00:00:00","1184.000","85.000","1.600","17.500","0.870","885.900","","0.000","-99.000","-99.000","-99.000","29.200","","15.200",""
"C0T9D0","2020-05-05 00:00:00","7.000","0.000","0.000","22.800","0.970","1011.200","","0.000","-99.000","-99.000","-99.000","32.800","","21.900",""
"C0C460","2020-05-05 00:00:00","482.000","0.000","0.000","22.000","0.960","958.100","","0.000","-99.000","-99.000","-99.000","32.900","","20.000",""
"C0AI40","2020-05-05 00:00:00","37.000","350.000","0.500","27.100","0.800","1006.800","","0.000","-99.000","-99.000","-99.000","32.300","","26.300",""
"C0O930","2020-05-05 00:00:00","69.000","0.000","0.000","24.000","1.000","1002.900","","0.000","-99.000","-99.000","-99.000","36.700","","24.000",""
"C0T870","2020-05-05 00:00:00","135.000","0.000","0.000","20.500","0.990","995.800","","0.000","-99.000","-99.000","-99.000","30.400","","18.900",""
"C0A920","2020-05-05 00:00:00","196.000","240.000","0.900","24.100","0.940","988.100","","0.000","-99.000","-99.000","-99.000","29.900","","23.100",""
"C0A940","2020-05-05 00:00:00","49.000","0.000","0.100","23.400","0.990","1005.500","","0.000","-99.000","-99.000","-99.000","29.100","","22.700",""
"C0S740","2020-05-05 00:00:00","289.000","291.000","0.300","22.100","0.970","980.000","","0.000","-99.000","-99.000","-99.000","31.800","","19.900",""
"C0U980","2020-05-05 00:00:00","573.000","82.000","0.900","21.600","0.900","948.500","","0.000","-99.000","-99.000","-99.000","27.100","","20.200",""
"C0V250","2020-05-05 00:00:00","298.000","115.000","1.000","22.800","0.920","977.200","","0.000","-99.000","-99.000","-99.000","37.200","","21.900",""
"C0AH70","2020-05-05 00:00:00","34.000","339.000","1.200","27.000","0.760","1007.100","","0.000","-99.000","-99.000","-99.000","33.800","","26.000",""
"C0M760","2020-05-05 00:00:00","40.000","197.000","0.800","26.200","0.850","1006.700","","0.000","-99.000","-99.000","-99.000","32.400","","25.200",""
"C0O950","2020-05-05 00:00:00","4.000","0.000","0.000","26.400","1.000","1009.700","","0.000","-99.000","-99.000","-99.000","31.600","","24.500",""
"C0F9A0","2020-05-05 00:00:00","425.000","0.000","0.100","24.200","0.940","963.700","","0.000","-99.000","-99.000","-99.000","33.300","","22.700",""
"C0A9F0","2020-05-05 00:00:00","35.000","0.000","0.200","27.100","0.820","1006.700","","0.000","-99.000","-99.000","-99.000","34.300","","26.200",""
"C0I460","2020-05-05 00:00:00","110.000","183.000","1.600","26.600","0.810","999.000","","0.000","-99.000","-99.000","-99.000","33.800","","24.800",""
"C0E420","2020-05-05 00:00:00","19.000","0.000","0.200","25.600","0.810","1006.700","","0.000","-99.000","-99.000","-99.000","29.700","","24.800",""
"C0R190","2020-05-05 00:00:00","32.000","0.000","0.000","25.200","0.990","1006.700","","0.000","-99.000","-99.000","-99.000","34.200","","24.700",""
"C0A660","2020-05-05 00:00:00","97.000","0.000","0.000","23.000","0.950","998.800","","0.000","-99.000","-99.000","-99.000","30.400","","22.300",""
